Competition,Home,Away,Date,Time,HGFT,AGFT,HG1st,AG1st,HG2nd,AG2nd,HGET,AGET,HGP,HGP,Finished,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Pinny-H,Pinny-D,Pinny-A,H-Max,D-Max,A-Max,H-Avg,D-Avg,A-Avg
World Cup 2018,Russia,Saudi Arabia,14/06/2018,16:00,5,0,2,0,3,0,,,,,90 minutes,13,6,7,0,22,10,6,2,1,1,0,0,1.45,4.4,9.45,1.5,4.5,9.75,1.46,4.32,8.92
World Cup 2018,Egypt,Uruguay,15/06/2018,13:00,0,1,0,0,0,1,,,,,90 minutes,8,14,3,4,12,6,0,5,2,0,0,0,8.82,4.05,1.52,9.2,4.24,1.54,8.35,4.06,1.5
World Cup 2018,Morocco,Iran,15/06/2018,16:00,0,1,0,0,0,1,,,,,90 minutes,13,8,3,2,22,14,5,2,1,3,0,0,2.21,3.01,4.25,2.3,3.1,4.4,2.23,2.95,4.11
World Cup 2018,Portugal,Spain,15/06/2018,19:00,3,3,2,1,1,2,,,,,90 minutes,8,12,3,5,12,10,4,5,1,1,0,0,4.36,3.25,2.07,4.6,3.37,2.1,4.3,3.26,2.03
World Cup 2018,France,Australia,16/06/2018,11:00,2,1,0,0,2,1,,,,,90 minutes,13,4,5,1,16,19,5,1,1,3,0,0,1.28,7.15,9.91,1.29,7.5,14,1.26,6.99,10.6
World Cup 2018,Argentina,Iceland,16/06/2018,14:00,1,1,1,1,0,0,,,,,90 minutes,26,9,7,3,10,15,10,2,0,0,0,0,1.33,5.44,11.98,1.36,5.65,13,1.33,5.31,11.04
World Cup 2018,Peru,Denmark,16/06/2018,17:00,0,1,0,0,0,1,,,,,90 minutes,18,10,6,3,10,18,3,7,1,2,0,0,3.67,3.15,2.33,3.9,3.2,2.4,3.68,3.09,2.31
World Cup 2018,Croatia,Nigeria,16/06/2018,20:00,2,0,1,0,1,0,,,,,90 minutes,11,14,2,2,20,16,6,5,2,1,0,0,1.69,3.76,6.16,1.71,3.9,6.5,1.68,3.76,5.99
World Cup 2018,Costa Rica,Serbia,17/06/2018,13:00,0,1,0,0,0,1,,,,,90 minutes,10,10,3,3,18,15,5,4,2,2,0,0,5.39,3.45,1.83,5.7,3.55,1.95,5.29,3.4,1.84
World Cup 2018,Germany,Mexico,17/06/2018,16:00,0,1,0,1,0,0,,,,,90 minutes,25,12,9,4,10,15,8,1,2,2,0,0,1.52,4.69,6.8,1.53,4.83,8.25,1.49,4.56,7.31
World Cup 2018,Brazil,Switzerland,17/06/2018,19:00,1,1,1,0,0,1,,,,,90 minutes,20,6,4,2,12,19,7,2,1,3,0,0,1.49,4.45,8.1,1.52,4.64,9,1.47,4.38,8.2
World Cup 2018,Sweden,South Korea,18/06/2018,13:00,1,0,0,0,1,0,,,,,90 minutes,15,5,5,0,20,23,6,5,1,2,0,0,2.25,3.09,3.97,2.34,3.15,4.05,2.27,3.04,3.86
World Cup 2018,Belgium,Panama,18/06/2018,16:00,3,0,0,0,3,0,,,,,90 minutes,15,6,6,2,17,18,9,3,3,5,0,0,1.22,6.63,18.82,1.25,7.5,21,1.21,6.83,17.92
World Cup 2018,Tunisia,England,18/06/2018,19:00,1,2,1,1,0,1,,,,,90 minutes,6,17,1,7,14,8,2,7,0,1,0,0,8.6,4.21,1.5,9.5,4.4,1.53,8.47,4.21,1.48
World Cup 2018,Colombia,Japan,19/06/2018,13:00,1,2,1,1,0,1,,,,,90 minutes,8,14,3,6,15,9,3,6,2,1,1,0,1.92,3.36,4.97,1.92,3.5,5.5,1.88,3.34,5.06
World Cup 2018,Poland,Senegal,19/06/2018,16:00,1,2,0,1,1,1,,,,,90 minutes,10,8,4,2,8,15,3,3,1,2,0,0,2.54,3.1,3.3,2.63,3.2,3.5,2.48,3.07,3.32
World Cup 2018,Russia,Egypt,19/06/2018,19:00,3,1,0,0,3,1,,,,,90 minutes,11,13,3,1,11,10,7,4,1,1,0,0,1.94,3.7,4.24,2.1,3.72,4.7,1.96,3.51,4.29
World Cup 2018,Portugal,Morocco,20/06/2018,13:00,1,0,1,0,0,0,,,,,90 minutes,10,16,2,4,19,23,5,7,1,1,0,0,1.71,3.66,6.1,1.74,3.85,6.5,1.7,3.67,5.97
World Cup 2018,Uruguay,Saudi Arabia,20/06/2018,16:00,1,0,1,0,0,0,,,,,90 minutes,13,8,4,3,10,13,3,4,0,0,0,0,1.22,6.72,18.5,1.25,7.3,21,1.22,6.62,17.46
